professorNUID,firstName,lastName,email,officeNumber,gender,country,homeAddress,city,state,zipcode
46587,Abigail,Ochengco,brandon.m@northeastern.edu,6174562129,M,United States of America,437 Warren Roads Suite 124,Markton,New Mexico,1472
46588,Amuthan,Arulraj,ricky.c@northeastern.edu,6174562095,M,United States of America,076 Allen Streets,Josephmouth,Maryland,43702
46589,Andrei,Guschin,jennifer.j@northeastern.edu,6174562110,M,United States of America,295 Deleon Plain Apt. 752,South Dannyfurt,Vermont,19339
46590,April,Bingham,andre.t@northeastern.edu,6174562096,M,United States of America,077 Lopez Port,Lake John,Michigan,76150
46591,Ashish,Ashish,barbara.r@northeastern.edu,6174562098,M,United States of America,76064 Henry Hills,Obrienstad,Tennessee,76168
46592,Brett,Ritter,lauren.r@northeastern.edu,6174562114,M,United States of America,18859 Pearson Center,Warrenbury,Alabama,30210
46593,Carrie,Klaphake,jennifer.h@northeastern.edu,6174562130,M,United States of America,88556 Carr Mountains,Lauriebury,Maine,82089
46594,Chaiyaporn,Mutsalklisana,sarah.d@northeastern.edu,6174562106,M,United States of America,973 Zachary Expressway,South Michelle,Utah,17064
46595,Constantin,Konstantopoulos,eric.m@northeastern.edu,6174562089,M,United States of America,35534 Anderson Meadow,Flemington,Virginia,50729
46596,Ebrahim,Nasrabadi,jeanette.g@northeastern.edu,6174562088,M,United States of America,5652 Jordan Mountain Suite 925,Robinsonstad,Arizona,86606
46597,Handan,Liu,david.o@northeastern.edu,6174562087,F,United States of America,195 Parks Road Apt. 785,Port Amberborough,Georgia,28037
46598,Jagadeesh,Vasudevamurthy,sharon.j@northeastern.edu,6174562101,M,United States of America,196 Dwayne Track Apt. 906,Port Cindy,Delaware,55655
46599,Kambiz,Heydari,wendy.b@northeastern.edu,6174562111,M,United States of America,756 Tracy Dale Apt. 968,Beckyburgh,New Hampshire,55558
46600,Khaled,Bugrara,roger.w@northeastern.edu,6174562083,M,United States of America,604 Hubbard Roads Apt. 084,North Tracihaven,Ohio,15539
46601,Manuel,Montrond,jose.r@northeastern.edu,6174562103,M,United States of America,165 Ann Squares,Burgessville,Maryland,70713
46602,Matthew,Servattalab,martin.k@northeastern.edu,6174562123,M,United States of America,38709 Wesley Manor Apt. 935,Williamshaven,Michigan,62136
46603,Mohsen,Ghassemi,michelle.f@northeastern.edu,6174562097,M,United States of America,0368 Sarah Turnpike Suite 964,Troyland,Louisiana,76872
46604,Naveen,Kuragayala,paula.b@northeastern.edu,6174562109,M,United States of America,7051 Philip Tunnel,Eduardomouth,North Carolina,10138
46605,Nicholas,Boivin,tiffany.s@northeastern.edu,6174562128,M,United States of America,30475 Patricia Knolls,Port Elizabeth,Montana,91896
46606,Nicholas,Brown,jonathan.f@northeastern.edu,6174562107,M,United States of America,80695 Baker Mount,Lake Abigailchester,Oregon,56609
46607,Rabah,Ahmed,janice.w@northeastern.edu,6174562125,M,United States of America,56157 Barker Causeway,Port Peterchester,Arkansas,7041
46608,Ramkumar,Hariharan,jordan.w@northeastern.edu,6174562091,M,United States of America,255 Phillips Cape Apt. 977,Lake Jacquelineview,Illinois,94555
46609,Robin,Hillyard,laura.h@northeastern.edu,6174562099,M,United States of America,46338 Chelsea Hollow Apt. 369,New Richard,Montana,76706
46610,Siva,Dosapati,rebecca.w@northeastern.edu,6174562081,M,United States of America,02259 Austin Viaduct,Wrightton,Missouri,47816
46611,Taral,Oza,monica.d@northeastern.edu,6174562082,M,United States of America,6296 Earl Crossing Apt. 350,Port Erica,North Carolina,6993
46612,Vishal,Chawla,stacy.l@northeastern.edu,6174562094,M,United States of America,6661 Estrada Alley,Lake Edwardbury,Colorado,11328
46613,Wuping,Wang,stephanie.n@northeastern.edu,6174562104,M,United States of America,87683 Rodriguez Square Apt. 206,Robinsonberg,North Carolina,53550
46614,Yusuf,Ozbek,kimberly.g@northeastern.edu,6174562112,M,United States of America,31121 Tina Camp Apt. 629,Sheriburgh,Alabama,51107
