,NUID,FirstName,LastName,DOB,Email,Gender,OnCampus,GraduationDate,StreetAddress,City,State,Zipcode,CountryOfOrigin,EmpStatus,CoopStatus,Home_Address,Home_City,Home_State,Home_Zipcode,Prof_Address,Prof_City,Prof_State,Prof_Zipcode
0,4644385,Ashley,Gutierrez,1963-04-17,ashley.g@northeastern.edu,M,No,2025-02-04,8239 Neal Villages,South Aaron,Iowa,01782,Cambodia,Employed,Yes,158 Mcmillan Vista Apt. 760,Leeville,Hawaii,47509,437 Warren Roads Suite 124,Markton,New Mexico,01472
1,3521199,Courtney,Koch,1945-09-08,courtney.k@northeastern.edu,F,No,2024-02-19,45056 Mcintosh Parkway,South Erin,North Carolina,79975,Denmark,Unemployed,No,812 Ross Village Apt. 408,North Sarahhaven,Alaska,64931,076 Allen Streets,Josephmouth,Maryland,43702
2,5998243,Christopher,Walker,1998-11-30,christopher.w@northeastern.edu,M,No,2023-02-25,6015 Mark Heights Suite 758,South Jessica,Maryland,19282,Montserrat,Employed,No,598 Jesse Mountains,Port Samuelside,Maine,30120,295 Deleon Plain Apt. 752,South Dannyfurt,Vermont,19339
3,5338099,Benjamin,Hansen,1923-08-27,benjamin.h@northeastern.edu,F,No,2025-09-05,85277 Gray Keys,Perrytown,Louisiana,02356,Romania,Unemployed,Yes,98864 Ryan Place Apt. 378,Knoxstad,Indiana,96539,077 Lopez Port,Lake John,Michigan,76150
4,9576475,James,Thompson,1914-03-01,james.t@northeastern.edu,M,No,2024-03-22,124 Randolph Rest,Wadefurt,Texas,93718,British Indian Ocean Territory (Chagos Archipelago),Employed,No,8820 Lindsey Mission Suite 704,Amyshire,Washington,23344,76064 Henry Hills,Obrienstad,Tennessee,76168
5,2223479,Christopher,Clark,1993-08-20,christopher.c@northeastern.edu,F,No,2022-05-28,9611 Fernandez Haven Suite 904,West Kylefurt,Maryland,76199,Mozambique,Unemployed,No,22208 Mark Loaf,South Stephanie,Kentucky,24656,18859 Pearson Center,Warrenbury,Alabama,30210
6,9875616,Jose,Stone,1965-11-19,jose.s@northeastern.edu,M,No,2025-09-11,95344 April Crescent Suite 201,New Alexmouth,Texas,57334,Bermuda,Employed,Yes,20517 Sara Turnpike,East Jeanette,Minnesota,04765,88556 Carr Mountains,Lauriebury,Maine,82089
7,2823528,Cassandra,Collins,1907-09-08,cassandra.c@northeastern.edu,F,No,2023-01-16,314 Jessica Circle,Ramosview,New Mexico,54745,Slovenia,Unemployed,No,3691 Skinner Lock,South Jacobstad,Vermont,01288,973 Zachary Expressway,South Michelle,Utah,17064
8,7939495,Danielle,Hayes,1995-05-31,danielle.h@northeastern.edu,M,No,2025-01-12,2353 Daniels Views Suite 196,South Manuelburgh,Montana,01570,Cape Verde,Employed,No,749 Oneal Burgs Suite 472,West Hannahport,Georgia,95428,35534 Anderson Meadow,Flemington,Virginia,50729
9,1373962,Alicia,Taylor,1979-07-23,alicia.t@northeastern.edu,F,No,2025-09-16,493 Malone Camp Apt. 000,Stephanietown,New Jersey,53397,Nepal,Unemployed,Yes,758 Brooke Courts,Karitown,Idaho,38020,5652 Jordan Mountain Suite 925,Robinsonstad,Arizona,86606
10,9610578,Luis,Benjamin,1976-04-10,luis.b@northeastern.edu,M,No,2025-11-07,634 Sanchez Stream Suite 367,Gordonfurt,Florida,91927,Syrian Arab Republic,Employed,No,362 Jones Garden,Hallhaven,Maryland,73698,195 Parks Road Apt. 785,Port Amberborough,Georgia,28037
11,4519726,Timothy,Vasquez,1966-09-15,timothy.v@northeastern.edu,F,No,2022-11-08,6380 Johnson Brook Suite 737,West Danielborough,Hawaii,40968,Cyprus,Unemployed,No,27418 Debra Cape Suite 270,New Amandaport,New York,37461,196 Dwayne Track Apt. 906,Port Cindy,Delaware,55655
12,4972892,Sherry,Griffith,1932-04-29,sherry.g@northeastern.edu,M,No,2022-07-16,91541 Moreno Shore,Markstad,North Dakota,38382,Denmark,Employed,Yes,534 Strickland Tunnel,Lake Jennifer,Delaware,05924,756 Tracy Dale Apt. 968,Beckyburgh,New Hampshire,55558
13,3348750,Mitchell,Bowen,1934-11-08,mitchell.b@northeastern.edu,F,No,2024-11-16,3239 Hernandez Circles Suite 045,Vanessaborough,Michigan,60044,Nicaragua,Unemployed,No,80482 Todd Groves Apt. 635,Cruzville,New Hampshire,42435,604 Hubbard Roads Apt. 084,North Tracihaven,Ohio,15539
14,4740742,Janice,Fisher,1906-11-17,janice.f@northeastern.edu,M,No,2024-02-13,218 Rachel Estates,South Jeffrey,Vermont,69226,Guinea-Bissau,Employed,No,175 Daniel Land Apt. 579,West Tabitha,Colorado,37945,165 Ann Squares,Burgessville,Maryland,70713
15,1720382,Peter,Jones,2001-05-17,peter.j@northeastern.edu,F,No,2025-09-09,048 Morrison Mews Apt. 070,Elizabethhaven,Alabama,16850,Singapore,Unemployed,Yes,598 Loretta Drive Suite 123,South Michelle,Ohio,21630,38709 Wesley Manor Apt. 935,Williamshaven,Michigan,62136
16,3422577,Alexis,Walker,2004-07-02,alexis.w@northeastern.edu,M,No,2022-07-25,11807 Sparks Green Suite 760,West Jerry,Louisiana,39324,Northern Mariana Islands,Employed,No,1736 Theresa Glens,Smithville,Oregon,42829,0368 Sarah Turnpike Suite 964,Troyland,Louisiana,76872
17,2452670,Thomas,Ferrell,1968-05-25,thomas.f@northeastern.edu,F,No,2024-08-08,06964 Michael Port,Amberton,Alaska,82778,Guernsey,Unemployed,No,31775 Jennifer Extension Suite 777,Roberthaven,Missouri,42264,7051 Philip Tunnel,Eduardomouth,North Carolina,10138
18,9633639,Stephen,Smith,1965-07-18,stephen.s@northeastern.edu,M,No,2022-05-01,78171 King Ways,East Jaime,Minnesota,91721,Hungary,Employed,Yes,65284 Christopher Walk Suite 299,North Jenniferfort,Oregon,63390,30475 Patricia Knolls,Port Elizabeth,Montana,91896
19,4470960,Taylor,Johnson,1980-07-15,taylor.j@northeastern.edu,F,No,2025-09-04,7894 Gonzales Station Apt. 640,Blanchardshire,Ohio,60538,American Samoa,Unemployed,No,99809 Barrett Motorway,Port Travis,Idaho,49307,80695 Baker Mount,Lake Abigailchester,Oregon,56609
20,9738803,Jonathan,Burns,1950-03-22,jonathan.b@northeastern.edu,M,No,2024-01-25,99478 Meghan Lane,Andrewhaven,Massachusetts,13874,Iceland,Employed,No,77458 Jennifer Forks,North Craig,Connecticut,24173,56157 Barker Causeway,Port Peterchester,Arkansas,07041
21,3609082,Ernest,Brown,1988-09-10,ernest.b@northeastern.edu,F,No,2023-05-24,30650 Sarah Place Suite 483,South Jenniferland,Alabama,37289,Japan,Unemployed,Yes,548 Douglas Trail Suite 661,East Alfredhaven,West Virginia,81064,255 Phillips Cape Apt. 977,Lake Jacquelineview,Illinois,94555
22,9064016,Kyle,Adkins,1989-11-08,kyle.a@northeastern.edu,M,No,2024-12-09,250 Taylor Rue,Virginiamouth,West Virginia,86059,New Caledonia,Employed,No,56714 Smith Walks Suite 858,Bensonshire,North Dakota,30138,46338 Chelsea Hollow Apt. 369,New Richard,Montana,76706
