studentNUID,firstNames,lastName,dateOfBirth,email,gender,livingOnCampus,graduationDate,geographySK,hometownStudentSK,numberOfCreditCompleted,numberOfCreditToDegree,Nationality
4644385,Ashley,Gutierrez,1963-04-17,ashley.g@northeastern.edu,M,No,2025-02-04,100001,500001,16,16,Macedonia
3521199,Courtney,Koch,1945-09-08,courtney.k@northeastern.edu,F,No,2024-02-19,100002,500002,4,28,Dominican Republic
5998243,Christopher,Walker,1998-11-30,christopher.w@northeastern.edu,M,No,2023-02-25,100003,500003,12,20,Swaziland
5338099,Benjamin,Hansen,1923-08-27,benjamin.h@northeastern.edu,F,No,2025-09-05,100004,500004,4,28,Cook Islands
9576475,James,Thompson,1914-03-01,james.t@northeastern.edu,M,No,2024-03-22,100005,500005,8,24,Bermuda
2223479,Christopher,Clark,1993-08-20,christopher.c@northeastern.edu,F,No,2022-05-28,100006,500006,16,16,Tonga
9875616,Jose,Stone,1965-11-19,jose.s@northeastern.edu,M,No,2025-09-11,100007,500007,8,24,Cocos (Keeling) Islands
2823528,Cassandra,Collins,1907-09-08,cassandra.c@northeastern.edu,F,No,2023-01-16,100008,500008,12,20,Albania
7939495,Danielle,Hayes,1995-05-31,danielle.h@northeastern.edu,M,No,2025-01-12,100009,500009,4,28,Latvia
1373962,Alicia,Taylor,1979-07-23,alicia.t@northeastern.edu,F,No,2025-09-16,100010,500010,4,28,Macao
9610578,Luis,Benjamin,1976-04-10,luis.b@northeastern.edu,M,No,2025-11-07,100011,500011,12,20,Lebanon
4519726,Timothy,Vasquez,1966-09-15,timothy.v@northeastern.edu,F,No,2022-11-08,100012,500012,8,24,Albania
4972892,Sherry,Griffith,1932-04-29,sherry.g@northeastern.edu,M,No,2022-07-16,100013,500013,12,20,Bermuda
3348750,Mitchell,Bowen,1934-11-08,mitchell.b@northeastern.edu,F,No,2024-11-16,100014,500014,16,16,South Georgia and the South Sandwich Islands
4740742,Janice,Fisher,1906-11-17,janice.f@northeastern.edu,M,No,2024-02-13,100015,500015,8,24,Nepal
1720382,Peter,Jones,2001-05-17,peter.j@northeastern.edu,F,No,2025-09-09,100016,500016,8,24,Ghana
3422577,Alexis,Walker,2004-07-02,alexis.w@northeastern.edu,M,No,2022-07-25,100017,500017,16,16,Tonga
2452670,Thomas,Ferrell,1968-05-25,thomas.f@northeastern.edu,F,No,2024-08-08,100018,500018,12,20,Sao Tome and Principe
9633639,Stephen,Smith,1965-07-18,stephen.s@northeastern.edu,M,No,2022-05-01,100019,500019,16,16,Austria
4470960,Taylor,Johnson,1980-07-15,taylor.j@northeastern.edu,F,No,2025-09-04,100020,500020,4,28,Denmark
9738803,Jonathan,Burns,1950-03-22,jonathan.b@northeastern.edu,M,No,2024-01-25,100021,500021,8,24,Norfolk Island
3609082,Ernest,Brown,1988-09-10,ernest.b@northeastern.edu,F,No,2023-05-24,100022,500022,4,28,Comoros
9064016,Kyle,Adkins,1989-11-08,kyle.a@northeastern.edu,M,No,2024-12-09,100023,500023,16,16,Central African Republic
2740736,Timothy,Adams,1981-07-05,timothy.a@northeastern.edu,F,No,2023-07-16,100024,500024,12,20,Saint Lucia
2310780,Darlene,Mahoney,1998-07-03,darlene.m@northeastern.edu,M,No,2025-02-11,100025,500025,16,16,Lebanon
2600218,Tina,Alvarez,1960-12-21,tina.a@northeastern.edu,F,No,2022-01-25,100026,500026,12,20,Timor-Leste
5916583,Seth,Murphy,2019-01-21,seth.m@northeastern.edu,M,No,2024-06-16,100027,500027,4,28,Mali
7924451,Gregory,Lopez,2016-02-19,gregory.l@northeastern.edu,F,No,2025-10-27,100028,500028,8,24,Barbados
4571666,Zachary,Munoz,1960-12-26,zachary.m@northeastern.edu,M,No,2022-01-14,100029,500029,12,20,Tanzania
4501703,Melissa,Hughes,1914-06-27,melissa.h@northeastern.edu,F,No,2025-06-24,100030,500030,16,16,Djibouti
4661314,Tracy,Nguyen,1949-11-17,tracy.n@northeastern.edu,M,No,2024-03-05,100031,500031,12,20,Bulgaria
5044459,Patricia,Hamilton,1933-07-09,patricia.h@northeastern.edu,F,No,2025-01-15,100032,500032,12,20,Bangladesh
5141955,Devin,Ruiz,1920-01-08,devin.r@northeastern.edu,M,No,2025-10-02,100033,500033,8,24,Argentina
8483687,Gregory,Evans,1929-02-28,gregory.e@northeastern.edu,F,No,2024-01-27,100034,500034,4,28,Grenada
2205097,Danielle,Peterson,1967-02-19,danielle.p@northeastern.edu,M,No,2024-09-18,100035,500035,12,20,Aruba
2139298,Tina,Turner,1945-11-25,tina.t@northeastern.edu,F,No,2025-11-06,100036,500036,12,20,Ireland
3061758,Andrea,King,1908-02-26,andrea.k@northeastern.edu,M,No,2022-05-30,100037,500037,16,16,Grenada
2463354,John,Welch,2006-08-05,john.w@northeastern.edu,F,No,2022-02-23,100038,500038,12,20,Singapore
3799638,Jon,Rodriguez,1975-01-05,jon.r@northeastern.edu,M,No,2023-12-12,100039,500039,16,16,Costa Rica
4022263,Nancy,Davila,1997-11-29,nancy.d@northeastern.edu,F,No,2024-07-27,100040,500040,16,16,India
6101574,Nicholas,Briggs,1951-03-24,nicholas.b@northeastern.edu,M,No,2023-04-22,100041,500041,4,28,French Polynesia
1065188,Heidi,Sexton,1993-09-28,heidi.s@northeastern.edu,F,No,2024-04-01,100042,500042,8,24,Chad
8802496,Rodney,Garcia,1956-08-20,rodney.g@northeastern.edu,M,No,2025-08-31,100043,500043,16,16,Syrian Arab Republic
3074310,Suzanne,Thompson,1973-06-13,suzanne.t@northeastern.edu,F,No,2022-11-18,100044,500044,8,24,Denmark
