studentNUID,geagraphySK,hometownStudentSK,calendarSK,firstName,lastName,dateOfBirth,email,gender,nationality,livingOnCampus,numberOfCreditCompleted,numberOfCreditsToDegree,graduationDate
4644385,100001,500001,810001,Ashley,Gutierrez,1963-04-17,ashley.g@northeastern.edu,M,Macedonia,No,16,16,2025-02-04
3521199,100002,500002,810002,Courtney,Koch,1945-09-08,courtney.k@northeastern.edu,F,Dominican Republic,No,4,28,2024-02-19
5998243,100003,500003,810003,Christopher,Walker,1998-11-30,christopher.w@northeastern.edu,M,Swaziland,No,12,20,2023-02-25
5338099,100004,500004,810004,Benjamin,Hansen,1923-08-27,benjamin.h@northeastern.edu,F,Cook Islands,No,4,28,2025-09-05
9576475,100005,500005,810005,James,Thompson,1914-03-01,james.t@northeastern.edu,M,Bermuda,No,8,24,2024-03-22
2223479,100006,500006,810006,Christopher,Clark,1993-08-20,christopher.c@northeastern.edu,F,Tonga,No,16,16,2022-05-28
9875616,100007,500007,810007,Jose,Stone,1965-11-19,jose.s@northeastern.edu,M,Cocos (Keeling) Islands,No,8,24,2025-09-11
2823528,100008,500008,810008,Cassandra,Collins,1907-09-08,cassandra.c@northeastern.edu,F,Albania,No,12,20,2023-01-16
7939495,100009,500009,810009,Danielle,Hayes,1995-05-31,danielle.h@northeastern.edu,M,Latvia,No,4,28,2025-01-12
1373962,100010,500010,810010,Alicia,Taylor,1979-07-23,alicia.t@northeastern.edu,F,Macao,No,4,28,2025-09-16
9610578,100011,500011,810011,Luis,Benjamin,1976-04-10,luis.b@northeastern.edu,M,Lebanon,No,12,20,2025-11-07
4519726,100012,500012,810012,Timothy,Vasquez,1966-09-15,timothy.v@northeastern.edu,F,Albania,No,8,24,2022-11-08
4972892,100013,500013,810013,Sherry,Griffith,1932-04-29,sherry.g@northeastern.edu,M,Bermuda,No,12,20,2022-07-16
3348750,100014,500014,810014,Mitchell,Bowen,1934-11-08,mitchell.b@northeastern.edu,F,South Georgia and the South Sandwich Islands,No,16,16,2024-11-16
4740742,100015,500015,810015,Janice,Fisher,1906-11-17,janice.f@northeastern.edu,M,Nepal,No,8,24,2024-02-13
1720382,100016,500016,810016,Peter,Jones,2001-05-17,peter.j@northeastern.edu,F,Ghana,No,8,24,2025-09-09
3422577,100017,500017,810017,Alexis,Walker,2004-07-02,alexis.w@northeastern.edu,M,Tonga,No,16,16,2022-07-25
2452670,100018,500018,810018,Thomas,Ferrell,1968-05-25,thomas.f@northeastern.edu,F,Sao Tome and Principe,No,12,20,2024-08-08
9633639,100019,500019,810019,Stephen,Smith,1965-07-18,stephen.s@northeastern.edu,M,Austria,No,16,16,2022-05-01
4470960,100020,500020,810020,Taylor,Johnson,1980-07-15,taylor.j@northeastern.edu,F,Denmark,No,4,28,2025-09-04
9738803,100021,500021,810021,Jonathan,Burns,1950-03-22,jonathan.b@northeastern.edu,M,Norfolk Island,No,8,24,2024-01-25
3609082,100022,500022,810022,Ernest,Brown,1988-09-10,ernest.b@northeastern.edu,F,Comoros,No,4,28,2023-05-24
9064016,100023,500023,810023,Kyle,Adkins,1989-11-08,kyle.a@northeastern.edu,M,Central African Republic,No,16,16,2024-12-09
2740736,100024,500024,810024,Timothy,Adams,1981-07-05,timothy.a@northeastern.edu,F,Saint Lucia,No,12,20,2023-07-16
2310780,100025,500025,810025,Darlene,Mahoney,1998-07-03,darlene.m@northeastern.edu,M,Lebanon,No,16,16,2025-02-11
2600218,100026,500026,810026,Tina,Alvarez,1960-12-21,tina.a@northeastern.edu,F,Timor-Leste,No,12,20,2022-01-25
5916583,100027,500027,810027,Seth,Murphy,2019-01-21,seth.m@northeastern.edu,M,Mali,No,4,28,2024-06-16
7924451,100028,500028,810028,Gregory,Lopez,2016-02-19,gregory.l@northeastern.edu,F,Barbados,No,8,24,2025-10-27
4571666,100029,500029,810029,Zachary,Munoz,1960-12-26,zachary.m@northeastern.edu,M,Tanzania,No,12,20,2022-01-14
4501703,100030,500030,810030,Melissa,Hughes,1914-06-27,melissa.h@northeastern.edu,F,Djibouti,No,16,16,2025-06-24
4661314,100031,500031,810031,Tracy,Nguyen,1949-11-17,tracy.n@northeastern.edu,M,Bulgaria,No,12,20,2024-03-05
5044459,100032,500032,810032,Patricia,Hamilton,1933-07-09,patricia.h@northeastern.edu,F,Bangladesh,No,12,20,2025-01-15
5141955,100033,500033,810033,Devin,Ruiz,1920-01-08,devin.r@northeastern.edu,M,Argentina,No,8,24,2025-10-02
8483687,100034,500034,810034,Gregory,Evans,1929-02-28,gregory.e@northeastern.edu,F,Grenada,No,4,28,2024-01-27
